year,month,total_rainfall,rainy_days,sunshine_hrs,air_temp,visitor_arrivals
1970,1,107.1,10,5.6,23.3,239088
1970,1,27.8,5,7.6,23.9,225008
1970,1,160.8,11,5.1,24.3,235113
1970,1,157.0,14,4.7,24.3,225827
1970,1,102.2,10,5.8,25.2,232737
1970,1,59.5,8,7.3,26.0,243955
1970,1,76.3,8,7.6,25.5,277968
1970,1,169.5,11,5.4,25.0,281354
1970,1,54.1,9,5.2,25.3,232006
1970,1,39.3,10,5.6,24.3,251613
1970,1,134.0,13,5.8,24.5,257389
1970,1,494.1,21,3.3,23.9,254632
1970,1,246.0,18,4.3,24.0,232164
1970,1,5.6,2,9.3,24.8,212591
1970,1,18.6,2,8.9,25.4,242272
1970,1,33.6,4,6.6,26.3,226610
1970,1,160.8,11,5.9,25.2,236720
1970,1,94.0,11,5.9,25.3,227843
1970,1,190.0,18,5.4,24.9,249891
1970,1,262.2,10,6.3,25.6,263236
1970,1,170.8,18,3.8,24.6,230076
1970,1,212.7,17,5.2,24.7,240012
1970,1,228.8,18,3.2,24.0,237223
1970,1,370.6,16,2.7,23.3,254939
1970,1,251.2,18,4.1,22.9,233863
1970,1,470.4,19,4.1,23.4,221968
1970,1,361.3,19,5.3,23.8,239414
1970,1,153.1,17,6.2,24.5,245480
1970,1,186.5,12,6.4,24.5,248953
1970,1,255.0,14,5.4,24.7,240184
1970,1,127.2,12,5.7,24.7,261402
1970,1,102.7,13,6.0,24.3,282186
1970,1,186.7,17,4.9,23.7,239438
1970,1,187.5,11,5.3,24.3,257737
1970,1,127.7,17,4.3,24.0,248137
1970,1,277.4,22,3.3,23.6,272668
1970,1,111.1,7,8.7,23.6,248446
1970,1,79.3,11,6.5,24.1,230830
1970,1,88.0,13,5.6,24.2,262117
1970,1,110.5,14,5.5,24.4,237011
1970,1,70.1,12,5.7,25.2,244179
1970,1,37.0,14,5.8,25.1,247225
1970,1,131.8,17,5.3,23.9,264253
1970,1,56.9,11,6.2,25.1,279252
1970,1,110.7,18,5.0,24.0,240007
1970,1,169.0,21,4.1,23.9,249802
1970,1,179.4,21,4.1,23.8,250465
1970,1,340.1,22,4.6,23.7,277383
1970,1,308.2,13,3.9,23.4,262351
1970,1,26.7,2,7.2,23.9,236979
1970,1,353.4,17,4.6,24.1,260497
1970,1,150.0,14,6.2,24.7,245614
1970,1,145.1,13,6.1,25.4,248171
1970,1,122.9,13,6.8,25.3,257252
1970,1,109.7,12,6.2,25.0,275976
1970,1,72.9,11,5.6,25.2,304666
1970,1,396.0,22,4.8,23.6,259582
1970,1,227.3,20,5.0,24.3,275773
1970,1,256.7,21,4.5,24.1,266980
1970,1,367.2,16,5.4,23.9,297217
1970,1,568.6,16,4.0,23.4,284588
1970,1,86.9,7,9.2,23.7,273405
1970,1,132.5,12,6.9,24.8,293774
1970,1,72.5,10,6.2,25.1,287663
1970,1,270.0,16,5.6,25.0,291469
1970,1,126.6,15,6.8,26.0,283828
1970,1,80.9,11,6.7,25.4,342882
1970,1,191.9,16,5.1,25.0,353788
1970,1,129.9,11,5.4,24.6,302983
1970,1,22.6,9,5.8,25.2,315112
1970,1,347.6,17,4.5,24.3,307067
1970,1,72.8,11,4.8,24.2,342250
1970,1,237.5,15,5.9,24.5,328447
1970,1,158.1,9,6.7,24.6,312406
1970,1,186.8,15,5.2,24.8,347373
1970,1,109.6,13,5.4,25.2,331647
1970,1,229.6,14,5.6,25.8,318454
1970,1,252.2,13,6.5,24.9,319362
1970,1,305.4,15,6.0,24.6,377985
1970,1,80.1,14,4.9,24.5,388077
1970,1,440.4,14,4.8,24.5,341254
1970,1,134.6,17,4.1,24.5,365581
1970,1,401.4,23,3.7,23.7,361734
1970,1,62.9,11,5.7,23.9,393771
1970,1,189.7,10,5.8,23.9,380096
1970,1,52.4,3,6.7,23.7,353789
1970,1,305.9,21,4.5,23.9,404795
1970,1,198.6,17,5.7,24.0,375679
1970,1,194.0,12,5.2,24.5,362982
1970,1,117.6,12,6.0,24.4,367275
1970,1,157.6,12,6.0,24.9,435972
1970,1,201.0,18,5.3,23.9,443375
1970,1,247.3,14,5.5,24.1,406340
1970,1,111.0,16,5.5,24.2,423336
1970,1,508.4,20,5.4,24.0,425918
1970,1,179.7,18,4.8,23.9,450000
1970,1,147.4,13,5.3,23.7,432993
1970,1,24.1,8,8.9,24.9,424670
1970,1,94.2,4,8.3,25.0,445528
1970,1,52.4,10,6.3,25.3,430272
1970,1,180.1,11,6.5,25.6,409797
1970,1,112.6,9,6.3,25.4,409635
1970,1,124.0,12,5.9,24.6,474861
1970,1,146.6,13,5.8,25.1,492544
1970,1,204.5,17,5.1,24.2,427523
1970,1,56.4,12,5.9,24.9,435281
1970,1,180.4,17,4.6,24.7,448573
1970,1,201.1,16,5.5,24.1,488768
1970,1,123.9,13,5.6,24.2,432267
1970,1,45.5,7,7.0,24.1,363536
1970,1,92.4,10,7.1,24.7,403287
1970,1,134.2,13,5.8,24.7,418722
1970,1,256.4,23,5.1,25.0,411284
1970,1,88.7,9,7.1,25.8,445771
1970,1,37.3,8,6.7,25.7,494626
1970,1,226.2,8,5.3,25.3,519640
1970,1,123.1,12,4.1,24.7,459836
1970,1,52.0,5,4.2,24.7,472918
1970,1,205.0,19,3.5,23.6,473327
1970,1,492.3,19,3.0,23.4,519200
1970,1,83.9,9,6.6,23.8,485463
1970,1,62.4,4,7.7,24.3,500155
1970,1,67.6,6,7.4,25.0,478996
1970,1,160.3,13,6.4,25.1,485536
1970,1,63.1,13,5.7,25.1,449648
1970,1,162.8,14,5.5,24.9,472933
1970,1,290.8,19,4.7,24.2,548049
1970,1,76.1,11,5.7,24.3,547776
1970,1,83.6,13,5.0,24.5,486642
1970,1,233.2,20,4.5,24.3,488746
1970,1,474.3,18,3.7,23.7,498866
1970,1,502.7,23,3.4,23.4,547027
1970,1,176.4,11,5.5,23.8,514013
1970,1,69.2,8,8.5,23.8,485346
1970,1,250.5,14,5.4,24.0,547795
1970,1,283.9,20,6.4,24.4,501180
1970,1,129.9,10,6.0,25.4,491664
1970,1,115.5,17,6.2,25.4,524277
1970,1,240.0,15,5.2,25.2,583347
1970,1,106.8,11,7.4,25.4,608843
1970,1,61.7,7,5.9,24.9,504648
1970,1,175.5,13,5.2,24.7,533969
1970,1,250.8,18,4.7,24.2,537176
1970,1,308.5,19,4.2,24.0,593419
1970,1,56.9,7,6.1,24.1,549022
1970,1,133.5,15,6.4,24.0,527574
1970,1,288.2,19,3.5,24.2,626918
1970,1,154.0,15,5.8,24.8,540643
1970,1,169.6,16,5.0,25.1,509545
1970,1,184.7,14,6.0,25.2,531476
1970,1,53.8,6,7.6,25.7,642768
1970,1,45.1,12,6.5,25.2,664329
1970,1,23.7,6,3.8,25.5,551510
1970,1,84.7,11,4.5,24.6,564144
1970,1,322.2,21,4.5,24.0,569103
1970,1,425.4,18,5.3,24.1,621277
1970,1,349.4,21,5.0,24.1,575652
1970,1,334.0,16,4.9,23.9,556744
1970,1,67.7,10,5.9,24.6,619688
1970,1,242.3,16,5.6,25.0,548881
1970,1,84.4,11,6.0,25.6,535270
1970,1,63.7,12,6.6,25.8,549326
1970,1,173.6,13,5.2,25.2,676075
1970,1,211.6,21,4.1,24.6,688445
1970,1,29.5,7,5.8,25.1,583492
1970,1,101.1,12,4.7,24.8,588420
1970,1,372.8,20,3.7,24.1,589339
1970,1,302.5,20,3.1,23.9,625206
1970,1,173.2,10,5.2,23.4,599742
1970,1,180.2,11,5.8,24.0,595491
1970,1,129.7,8,7.7,24.5,641447
1970,1,178.2,15,5.4,24.9,584109
1970,1,107.5,15,7.0,25.2,551828
1970,1,265.8,15,5.9,25.3,586963
1970,1,162.3,10,6.7,25.4,651103
1970,1,258.4,18,5.0,24.3,655073
1970,1,297.0,18,4.8,24.6,548876
1970,1,300.0,19,4.3,24.4,600917
1970,1,180.2,16,4.4,24.6,599164
1970,1,185.5,15,4.5,23.9,677653
1970,1,15.4,3,7.7,24.0,612265
1970,1,105.4,8,4.9,24.5,634403
1970,1,34.3,10,7.0,24.9,657483
1970,1,118.4,12,5.6,25.0,595444
1970,1,41.6,6,6.7,26.3,582119
1970,1,78.9,12,7.3,26.0,607848
1970,1,18.6,9,6.5,26.0,692050
1970,1,86.6,9,5.7,25.9,645090
1970,1,31.1,3,3.2,26.3,564369
1970,1,78.4,8,3.2,25.1,495322
1970,1,158.3,13,5.4,24.8,535236
1970,1,351.9,23,5.3,24.6,576242
1970,1,268.8,13,7.4,25.3,509727
1970,1,32.5,5,8.9,25.9,497566
1970,1,58.8,7,7.6,26.3,519496
1970,1,187.7,13,6.7,26.3,491496
1970,1,370.8,18,5.9,26.3,548506
1970,1,198.8,15,5.3,25.4,487361
1970,1,259.2,18,5.1,24.9,556870
1970,1,195.0,18,4.6,24.7,569901
1970,1,258.2,17,4.5,24.9,482654
1970,1,222.7,20,5.0,24.6,498695
1970,1,107.2,11,4.6,24.9,506970
1970,1,463.4,22,3.1,24.2,572910
1970,1,193.9,19,3.9,24.3,570444
1970,1,67.4,9,6.7,24.5,517554
1970,1,181.4,16,4.3,24.4,580426
1970,1,88.5,14,5.8,25.4,524455
1970,1,157.1,13,5.7,25.3,558554
1970,1,103.4,13,6.0,25.3,575055
1970,1,225.4,11,6.8,24.7,629435
1970,1,204.0,13,5.7,24.5,629991
1970,1,125.9,13,6.5,24.9,557649
1970,1,205.0,20,4.7,24.3,604306
1970,1,241.5,19,4.7,24.5,594301
1970,1,340.5,17,4.1,24.1,616031
1970,1,275.2,14,4.0,23.9,637852
1970,1,237.8,18,5.8,23.8,601281
1970,1,238.3,15,5.8,24.3,640922
1970,1,311.6,20,5.3,24.6,636970
1970,1,96.8,10,6.8,25.7,595838
1970,1,157.5,16,4.6,24.7,609008
1970,1,116.1,12,6.5,25.3,707413
1970,1,113.5,18,5.1,24.8,695965
1970,1,81.1,12,6.2,25.2,612708
1970,1,120.9,14,4.0,24.9,636185
1970,1,385.7,21,3.7,24.7,625618
1970,1,236.0,18,4.2,24.4,691639
1970,1,425.8,21,4.4,24.0,658216
1970,1,86.6,11,4.8,24.5,592592
1970,1,297.3,20,5.4,24.2,665565
1970,1,203.3,18,5.3,25.1,613320
1970,1,164.9,12,6.0,25.7,605891
1970,1,137.1,11,4.9,25.4,609958
1970,1,111.3,9,8.1,25.5,714944
1970,1,158.3,14,4.9,25.2,693902
1970,1,162.0,13,6.2,25.2,593827
1970,1,252.2,20,4.4,24.7,569622
1970,1,175.3,15,3.7,24.7,534049
1970,1,609.0,20,4.5,24.1,670277
1970,1,221.2,11,6.9,24.5,596710
1970,1,50.8,2,7.4,24.5,598861
1970,1,55.6,8,7.6,25.1,655151
1970,1,116.5,13,6.6,25.6,622301
1970,1,236.6,13,6.2,26.1,606144
1970,1,83.1,12,6.3,26.0,601969
1970,1,233.7,11,6.8,25.5,679574
1970,1,54.2,14,6.7,25.6,671638
1970,1,124.2,9,5.5,25.1,597453
1970,1,10.8,7,6.2,25.7,638673
1970,1,307.2,15,4.6,24.5,588742
1970,1,255.0,24,4.8,24.7,709616
1970,1,444.2,20,4.7,24.4,641734
1970,1,172.9,13,5.8,24.4,613395
1970,1,154.6,11,6.9,25.2,559945
1970,1,159.9,20,5.1,25.3,203562
1970,1,81.8,11,5.8,26.5,177808
1970,1,50.3,12,7.0,26.0,316587
1970,1,170.4,14,5.6,25.1,540914
1970,1,193.6,13,6.1,25.5,602240
1970,1,205.3,15,5.0,24.8,556871
1970,1,351.4,21,5.1,24.5,586390
1970,1,133.8,19,4.2,24.7,635716
1970,1,273.0,17,3.9,24.3,691786
1970,1,600.9,13,6.7,24.2,651951
1970,1,31.9,4,7.7,24.7,591565
1970,1,269.4,16,4.8,24.7,626350
1970,1,57.1,9,7.0,26.1,653156
1970,1,137.6,13,6.0,26.4,660347
1970,1,127.2,8,6.3,26.1,687016
1970,1,166.6,20,4.2,24.5,802890
1970,1,185.2,8,7.3,25.4,746317
1970,1,128.9,14,5.9,25.0,658510
1970,1,125.6,13,5.0,25.0,696431
1970,1,166.2,15,5.8,24.6,752614
1970,1,139.8,14,4.9,24.5,801497
1970,1,163.2,8,6.5,23.9,668334
1970,1,8.4,3,9.1,25.3,627367
1970,1,82.4,12,7.2,25.4,732753
1970,1,81.7,10,7.0,25.7,702985
1970,1,331.1,20,5.5,25.2,709777
1970,1,82.3,15,5.4,26.1,747475
1970,1,104.0,15,5.4,25.2,877392
1970,1,58.5,13,6.5,25.5,811099
1970,1,175.7,18,6.2,25.2,705110
1970,1,314.5,19,5.1,24.7,745129
1970,1,362.9,23,4.4,24.4,786117
1970,1,166.0,19,4.5,24.6,829483
1970,1,454.4,20,4.8,24.1,767908
1970,1,115.5,8,7.4,24.8,728158
1970,1,83.1,9,7.1,25.2,819985
1970,1,239.8,18,5.3,24.8,816654
1970,1,205.7,14,5.0,25.4,766181
1970,1,236.8,16,5.5,25.1,788955
1970,1,153.8,15,6.9,25.7,914879
1970,1,127.3,14,6.7,25.5,870763
1970,1,83.3,12,5.3,25.4,715523
1970,1,102.0,8,4.8,25.4,857809
1970,1,185.6,18,5.6,24.5,800625
1970,1,765.9,22,3.2,24.3,903512
1970,1,450.1,20,4.1,24.2,825919
1970,1,105.5,3,7.6,24.5,758341
1970,1,269.1,21,5.8,24.6,858661
1970,1,240.2,14,5.9,25.2,819505
1970,1,127.2,16,5.5,25.3,821248
1970,1,139.0,12,6.0,25.4,850514
1970,1,141.7,19,3.8,25.1,952836
1970,1,190.7,20,5.7,25.0,913181
1970,1,149.0,13,5.8,25.0,771453
1970,1,237.2,16,5.6,24.9,917427
1970,1,367.9,21,3.5,24.0,841648
1970,1,468.6,20,4.5,24.1,953812
1970,1,262.6,19,6.1,24.3,885290
1970,1,129.2,8,5.5,24.0,813028
1970,1,294.1,16,4.3,24.0,910635
1970,1,87.2,13,6.0,25.1,829438
1970,1,124.9,11,6.6,26.0,833604
1970,1,118.3,12,5.6,25.3,822954
1970,1,89.1,15,4.9,25.1,922569
1970,1,327.3,18,5.5,24.7,850016
1970,1,164.4,18,5.1,24.6,745794
1970,1,159.5,19,4.5,25.0,849400
1970,1,324.3,16,4.0,24.5,765325
1970,1,244.2,17,4.8,24.3,888001
1970,1,38.3,5,6.6,24.2,772138
1970,1,201.8,8,6.4,24.2,689935
1970,1,223.3,19,5.5,24.1,791236
1970,1,183.7,12,6.2,25.4,778975
1970,1,198.6,17,6.6,25.3,726391
1970,1,21.8,8,7.0,26.2,750404
1970,1,161.0,16,6.2,25.3,882107
1970,1,177.8,12,6.5,25.6,844649
1970,1,109.6,13,5.6,25.5,799496
1970,1,133.4,15,5.4,25.2,844953
1970,1,281.8,23,4.7,24.8,830173
1970,1,189.8,18,4.7,24.6,972233
1970,1,69.5,10,7.1,24.4,908495
1970,1,6.3,4,8.8,25.5,857387
1970,1,238.0,11,6.1,25.1,928903
1970,1,158.5,18,6.2,25.0,939013
1970,1,157.5,17,6.5,25.9,946676
1970,1,240.5,19,5.1,25.2,951032
1970,1,298.5,18,4.6,24.6,1095047
1970,1,158.4,16,5.4,24.6,996899
1970,1,121.5,13,5.7,24.9,947585
1970,1,166.2,17,4.2,25.1,978913
1970,1,278.8,21,5.0,24.2,964170
1970,1,181.4,14,3.6,23.9,1127581
1970,1,513.2,17,4.5,23.5,1055990
1970,1,23.0,8,7.5,24.1,990118
1970,1,256.6,22,4.6,23.9,1071960
1970,1,217.8,12,7.2,24.6,1103320
1970,1,127.0,15,5.9,25.2,1054104
1970,1,213.0,15,5.0,25.2,1080066
1970,1,76.6,7,7.8,25.5,1273870
1970,1,81.4,13,6.1,25.6,1178511
1970,1,136.4,14,5.1,25.1,1033747
1970,1,216.8,20,5.3,24.7,1085193
1970,1,377.8,24,4.6,24.6,1027787
1970,1,284.6,21,3.3,24.5,1216637
1970,1,106.1,16,6.0,24.3,1198507
1970,1,83.6,11,7.0,24.8,1134554
1970,1,313.4,21,4.2,24.4,1243133
1970,1,260.6,20,5.8,24.8,1201953
1970,1,292.0,19,5.6,24.8,1146448
1970,1,53.0,8,6.0,26.3,1157739
1970,1,130.8,17,6.2,25.3,1283611
1970,1,119.0,12,6.1,25.4,1313604
1970,1,107.6,10,5.6,25.3,1051348
1970,1,122.2,13,5.9,25.2,1192580
1970,1,208.2,22,4.4,24.7,1212079
1970,1,363.4,22,3.6,24.4,1360536
1970,1,262.0,15,6.0,24.6,1291718
1970,1,395.2,22,4.0,24.3,1221365
1970,1,85.8,10,7.5,25.6,1368891
1970,1,159.4,19,5.2,25.3,1274246
1970,1,211.4,17,5.4,25.6,1288282
1970,1,111.4,12,6.4,25.9,1288950
1970,1,174.6,15,5.7,25.2,1419657
1970,1,165.6,15,6.1,25.1,1483520
1970,1,257.0,19,4.6,24.8,1176142
1970,1,285.4,19,6.3,24.6,1203746
1970,1,292.4,22,4.5,24.5,1184002
1970,1,348.2,21,3.5,24.1,1367404
1970,1,75.4,5,5.3,24.0,1345842
1970,1,0.2,1,8.8,24.5,1238239
1970,1,66.0,6,8.0,25.1,1297551
1970,1,110.0,17,5.7,25.5,1245307
1970,1,125.8,18,5.8,25.8,1208532
1970,1,71.4,11,6.0,26.3,1181422
1970,1,148.6,15,5.5,25.8,1408400
1970,1,241.0,20,4.5,25.2,1362935
1970,1,83.6,9,7.0,25.7,1098626
1970,1,120.0,10,6.0,25.7,1203527
1970,1,250.8,23,5.4,24.8,1144230
1970,1,245.6,17,3.7,24.7,1360541
1970,1,79.6,6,7.4,24.6,1252598
1970,1,18.8,6,7.3,24.4,1188818
1970,1,84.4,5,7.3,25.5,1201648
1970,1,73.2,13,7.2,25.9,1208621
1970,1,89.0,12,5.8,26.4,1222836
1970,1,95.8,10,6.7,26.6,1184744
1970,1,116.8,13,7.1,26.7,1519188
1970,1,185.8,11,6.1,26.0,1445052
1970,1,61.6,8,4.3,26.5,1131967
1970,1,87.2,9,4.7,26.1,1246706
1970,1,72.6,13,4.8,25.5,1193906
